1girl, 1 девушка
yakumo_yukari, якумо_юкари
flying, летающий
4boys, 4 мальчика
red-framed_eyewear, верхняя одежда в красной рамке_
epaulettes, эполеты
furry_male, пушистый самец
striped_shirt, рубашка в полоску
gym_uniform, спортивный зал_uniform
emphasis_lines, подчеркивание_линий
fingering, аппликатура
white_kimono, белое кимоно
red_scarf, красный платок
light_blue_hair, светло-голубые_волосы
broom, метла
teacup, чайная чашка
honkai_impact_3rd, honkai_импакт_3-й
colored_eyelashes, окрашенные ресницы
ribbon-trimmed_sleeves, рукава с отделкой из ленточек
bowl, чаша
wide-eyed, широко раскрытыми глазами
dog_tail, собачий хвост
6+boys, 6+мальчиков
hat_ornament, украшение для шляпы
cumdrip, капля спермы
sports_bra, спортивная кобра
school_bag, школьная сумка
asymmetrical_bangs, асимметричные полосы
stubble, щетина
:q, :q
tanlines, линии загара
head_rest, подголовник
plump, полнеть
tentacle_hair, волосы-щупальца
rabbit_girl, девушка-кролик
purple_flower, пурпурный цветок
knees_together_feet_apart, колени, соединяющие ноги, разделяют
twins, близнецы
holding_umbrella, удерживающий_умбреллу
blue_bowtie, голубая бабочка
running, бегущий
monster, монстр
purple_shirt, фиолетовая рубашка
multicolored_eyes, разноцветные глаза
fins, ребра
